conta,num_funcao,nome_funcao
Legislativa,1,Legislativa
Ação Legislativa,1,Legislativa
Controle Externo,1,Legislativa
FU01 - Administração Geral,1,Legislativa
FU01 - Demais Subfunções,1,Legislativa
Judiciária,2,Judiciária
Ação Judiciária,2,Judiciária
Defesa do Interesse Público no Processo Judiciário,2,Judiciária
FU02 - Administração Geral,2,Judiciária
FU02 - Demais Subfunções,2,Judiciária
Essencial à Justiça,3,Essencial à Justiça
Defesa da Ordem Jurídica,3,Essencial à Justiça
Representação Judicial e Extrajudicial,3,Essencial à Justiça
FU03 - Administração Geral,3,Essencial à Justiça
FU03 - Demais Subfunções,3,Essencial à Justiça
Administração,4,Administração
Planejamento e Orçamento,4,Administração
Administração Geral,4,Administração
Administração Financeira,4,Administração
Controle Interno,4,Administração
Normatização e Fiscalização,4,Administração
Tecnologia da Informação,4,Administração
Ordenamento Territorial,4,Administração
Formação de Recursos Humanos,4,Administração
Administração de Receitas,4,Administração
Administração de Concessões,4,Administração
Comunicação Social,4,Administração
FU04 - Administração Geral,4,Administração
FU04 - Demais Subfunções,4,Administração
Defesa Nacional,5,Defesa Nacional
Defesa Aérea,5,Defesa Nacional
Defesa Naval,5,Defesa Nacional
Defesa Terrestre,5,Defesa Nacional
FU05 - Administração Geral,5,Defesa Nacional
FU05 - Demais Subfunções,5,Defesa Nacional
Segurança Pública,6,Segurança Pública
Policiamento,6,Segurança Pública
Defesa Civil,6,Segurança Pública
Informação e Inteligência,6,Segurança Pública
FU06 - Administração Geral,6,Segurança Pública
FU06 - Demais Subfunções,6,Segurança Pública
Relações Exteriores,7,Relações Exteriores
Relações Diplomáticas,7,Relações Exteriores
Cooperação Internacional,7,Relações Exteriores
FU07 - Administração Geral,7,Relações Exteriores
FU07 - Demais Subfunções,7,Relações Exteriores
Assistência Social,8,Assistência Social
Assistência à Pessoa Idosa,8,Assistência Social
Assistência à Pessoa com Deficiência,8,Assistência Social
Assistência à Criança e ao Adolescente,8,Assistência Social
Assistência Comunitária,8,Assistência Social
Serviços Socioassistenciais,8,Assistência Social
Segurança de Renda,8,Assistência Social
FU08 - Administração Geral,8,Assistência Social
FU08 - Demais Subfunções,8,Assistência Social
Previdência Social,9,Previdência Social
Previdência Básica,9,Previdência Social
Previdência do Regime Estatutário,9,Previdência Social
Previdência Complementar,9,Previdência Social
Previdência Especial,9,Previdência Social
FU09 - Administração Geral,9,Previdência Social
FU09 - Demais Subfunções,9,Previdência Social
Saúde,10,Saúde
Atenção Básica,10,Saúde
Assistência Hospitalar e Ambulatorial,10,Saúde
Suporte Profilático e Terapêutico,10,Saúde
Vigilância Sanitária,10,Saúde
Vigilância Epidemiológica,10,Saúde
Alimentação e Nutrição,10,Saúde
FU10 - Administração Geral,10,Saúde
FU10 - Demais Subfunções,10,Saúde
Trabalho,11,Trabalho
Proteção e Benefícios ao Trabalhador,11,Trabalho
Relações de Trabalho,11,Trabalho
Empregabilidade,11,Trabalho
Fomento ao Trabalho,11,Trabalho
FU11 - Administração Geral,11,Trabalho
FU11 - Demais Subfunções,11,Trabalho
Educação,12,Educação
Ensino Fundamental,12,Educação
Ensino Médio,12,Educação
Ensino Profissional,12,Educação
Ensino Superior,12,Educação
Educação Infantil,12,Educação
Educação de Jovens e Adultos,12,Educação
Educação Especial,12,Educação
Educação Básica,12,Educação
FU12 - Administração Geral,12,Educação
FU12 - Demais Subfunções,12,Educação
Cultura,13,Cultura
Patrimônio Histórico,13,Cultura
Difusão Cultural,13,Cultura
FU13 - Administração Geral,13,Cultura
FU13 - Demais Subfunções,13,Cultura
Direitos da Cidadania,14,Direitos da Cidadania
Custódia e Reintegração Social,14,Direitos da Cidadania
Direitos Individuais,14,Direitos da Cidadania
Assistência aos Povos Indígenas,14,Direitos da Cidadania
FU14 - Administração Geral,14,Direitos da Cidadania
FU14 - Demais Subfunções,14,Direitos da Cidadania
Urbanismo,15,Urbanismo
Infra-estrutura Urbana,15,Urbanismo
Serviços Urbanos,15,Urbanismo
Transportes Coletivos Urbanos,15,Urbanismo
FU15 - Administração Geral,15,Urbanismo
FU15 - Demais Subfunções,15,Urbanismo
Habitação,16,Habitação
Habitação Rural,16,Habitação
Habitação Urbana,16,Habitação
FU16 - Administração Geral,16,Habitação
FU16 - Demais Subfunções,16,Habitação
Saneamento,17,Saneamento
Saneamento Básico Rural,17,Saneamento
Saneamento Básico Urbano,17,Saneamento
FU17 - Administração Geral,17,Saneamento
FU17 - Demais Subfunções,17,Saneamento
Gestão Ambiental,18,Gestão Ambiental
Preservação e Conservação Ambiental,18,Gestão Ambiental
Controle Ambiental,18,Gestão Ambiental
Recuperação de Áreas Degradadas,18,Gestão Ambiental
Recursos Hídricos,18,Gestão Ambiental
Meteorologia,18,Gestão Ambiental
FU18 - Administração Geral,18,Gestão Ambiental
FU18 - Demais Subfunções,18,Gestão Ambiental
Ciência e Tecnologia,19,Ciência e Tecnologia
