num_funcao,nome_funcao
1,Legislativa
2,Judiciária
3,Essencial à Justiça
4,Administração
5,Defesa Nacional
6,Segurança Pública
7,Relações Exteriores
8,Assistência Social
9,Previdência Social
10,Saúde
11,Trabalho
12,Educação
13,Cultura
14,Direitos da Cidadania
15,Urbanismo
16,Habitação
17,Saneamento
18,Gestão Ambiental
19,Ciência e Tecnologia
20,Agricultura
21,Organização Agrária
22,Indústria
23,Comércio e Serviços
24,Comunicações
25,Energia
26,Transporte
27,Desporto e Lazer
28,Encargos Especiais
